haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n,onset_years
400,prob80,maximum_standardized_frac_recent,5000,4,0.7,1.9552662501347833,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,10000,4,0.7,3.4486113155139524,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,20000,4,0.7,4.052568874972697,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,30000,4,0.7,4.537231666495611,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,40000,4,0.7,4.901993737957997,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,50000,4,0.7,4.737927874772641,400,400,80,50000
400,prob80,maximum_frac_recent,5000,0,0.7,0.0032,400,400,80,10000
400,prob80,maximum_frac_recent,10000,0,0.7,0.0126,400,400,80,10000
400,prob80,maximum_frac_recent,20000,0,0.7,0.069,400,400,80,10000
400,prob80,maximum_frac_recent,30000,0,0.7,0.1641,400,400,80,10000
400,prob80,maximum_frac_recent,40000,0,0.7,0.2713,400,400,80,10000
400,prob80,maximum_frac_recent,50000,0,0.7,0.3647,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,5000,0,0.7,2.039697909244721,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,10000,0,0.7,3.049721225148289,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,20000,0,0.7,3.623306487317282,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,30000,0,0.7,3.9254244007570374,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,40000,0,0.7,4.235509930141958,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,50000,0,0.7,4.284371802286302,400,400,80,10000
400,prob80,maximum_frac_recent,5000,1,0.7,0.0032,400,400,80,10000
400,prob80,maximum_frac_recent,10000,1,0.7,0.0124,400,400,80,10000
400,prob80,maximum_frac_recent,20000,1,0.7,0.0713,400,400,80,10000
400,prob80,maximum_frac_recent,30000,1,0.7,0.1694,400,400,80,10000
400,prob80,maximum_frac_recent,40000,1,0.7,0.2778,400,400,80,10000
400,prob80,maximum_frac_recent,50000,1,0.7,0.3768,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,5000,1,0.7,2.0169822440776004,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,10000,1,0.7,3.1145763716983783,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,20000,1,0.7,3.816458669108757,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,30000,1,0.7,4.227315939705692,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,40000,1,0.7,4.480166580174785,400,400,80,10000
400,prob80,maximum_standardized_frac_recent,50000,1,0.7,4.624566693027042,400,400,80,10000
400,prob80,maximum_frac_recent,5000,2,0.7,0.0032,400,400,80,10000
400,prob80,maximum_frac_recent,10000,2,0.7,0.0122,400,400,80,10000
400,prob80,maximum_frac_recent,20000,2,0.7,0.0685,400,400,80,10000
