arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	15000.0	0.01	0.02339975	0.209875	0.904288696391295
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	20000.0	0.03	0.045883375000000004	0.256475	0.8262646716916039
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	30000.0	0.08	0.10039962499999999	0.31454375	0.7388782640216998
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	50000.0	0.11	0.203113625	0.06848125	0.946425669679129
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	3000.0	0.0	0.001476625	0.43190625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	5000.0	0.0	0.002681	0.38610625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	7500.0	0.0	0.004046	0.3381	1.0
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	15000.0	0.01	0.02339975	0.209875	0.904288696391295
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	20000.0	0.02	0.045883375000000004	0.11776249999999999	0.9382132723340958
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	30000.0	0.07	0.10039962499999999	0.21540625	0.8303146210672366
de novo 55 kya, s=0.05	denovo_s0p05	7	1.0	50000.0	0.17	0.203113625	0.3659875	0.665266684166448
de novo 55 kya, s=0.05	denovo_s0p05	8	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	8	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	8	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
