origin	arm_id	selection_coefficient	replicate_index	sample_af	hom_carrier_diploids	genotype_class	n_pairs	threshold_years	statistic	null_mean	p_value	percentile
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	10000.0	0.043478260869565216	0.007270108695652172	0.153785577680279	0.91674375
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	20000.0	0.30434782608695654	0.045950543478260865	8.74989062636717e-05	0.9999625
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	30000.0	0.4782608695652174	0.10062010869565215	9.99987500156248e-05	0.99994375
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	40000.0	0.6956521739130435	0.1560907608695652	4.99993750078124e-05	0.99996875
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	50000.0	0.6956521739130435	0.20345054347826083	0.0007874901563730453	0.99943125
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	100000.0	1.0	0.34486684782608695	0.001737478281521481	0.9991375
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	10000.0	0.0	0.007332625000000001	1.0	0.24276875
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	20000.0	0.09	0.045883375000000004	0.04986187672654092	0.96375
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	30000.0	0.12	0.10039962499999999	0.31240859489256384	0.7288625
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	40000.0	0.19	0.15611	0.2602717466031675	0.7636437500000001
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	50000.0	0.22	0.203113625	0.3714453569330383	0.6531687500000001
introgressed	eas_introgressed_s0p002	0.002	14	0.245	5	unconditional	100	100000.0	0.24	0.34436500000000003	0.8112648591892602	0.20583125
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	10000.0	0.01	0.007332625000000001	0.5144685691428857	0.65925
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	20000.0	0.09	0.045883375000000004	0.04986187672654092	0.96375
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	30000.0	0.15	0.10039962499999999	0.11817352283096462	0.8995062500000001
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	40000.0	0.2	0.15611	0.21245984425194686	0.8083437499999999
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	50000.0	0.21	0.203113625	0.42386970162872967	0.6023499999999999
introgressed	eas_introgressed_s0p002	0.002	15	0.185	7	unconditional	100	100000.0	0.34	0.34436500000000003	0.4452319346008175	0.5708
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	10000.0	0.0	0.007332625000000001	1.0	0.24276875
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	20000.0	0.04	0.045883375000000004	0.6607917401032487	0.42896249999999997
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	30000.0	0.06	0.10039962499999999	0.903263709203635	0.1332125
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	40000.0	0.13	0.15611	0.6880038999512507	0.35175625
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	50000.0	0.23	0.203113625	0.32223347208159897	0.6999
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	unconditional	100	100000.0	0.25	0.34436500000000003	0.7770777865276685	0.24105625000000003
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	hom_carrier	21	1000.0	0.0	0.0003708333333333333	1.0	0.49610625
introgressed	eas_introgressed_s0p002	0.002	16	0.48	21	hom_carrier	21	4500.0	0.0	0.002413690476190476	1.0	0.47548125
