attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
10435	1035127	False	lost	0.0	5.329999839887023e-05	0.4724747000145726	True
10436	1035137	False	lost	0.0	3.619998460635543e-05	0.47675480000907555	True
10437	1035147	False	lost	0.0	4.8900023102760315e-05	0.4591002000379376	True
10438	1035157	False	lost	0.0	3.519997699186206e-05	0.7017021999927238	True
10439	1035167	False	segregating	0.005475	3.940000897273421e-05	2.8093180999858305	True
10440	1035177	False	lost	0.0	6.799999391660094e-05	0.5785242000129074	True
10441	1035187	False	lost	0.0	6.440002471208572e-05	0.5583841999759898	True
10442	1035197	False	lost	0.0	0.0006567999953404069	0.5576860000146553	True
10443	1035207	False	lost	0.0	0.0006022999878041446	0.6434665000415407	True
10444	1035217	False	lost	0.0	0.0004951999871991575	0.5227327999891713	True
10445	1035227	False	lost	0.0	0.0004934000317007303	0.5369486000272445	True
10446	1035237	False	lost	0.0	0.0004776000278070569	0.5276109999977052	True
10447	1035247	False	lost	0.0	0.0005122000002302229	0.5363136999658309	True
10448	1035257	False	lost	0.0	0.0005741000059060752	0.5545917000272311	True
10449	1035267	False	lost	0.0	0.0005026000435464084	0.5459917000262067	True
10450	1035277	False	lost	0.0	0.0006210000137798488	0.5361405999865383	True
10451	1035287	False	lost	0.0	0.0005650999955832958	0.534384400001727	True
10452	1035297	False	lost	0.0	4.999997327104211e-05	0.5204424999537878	True
10453	1035307	False	lost	0.0	4.1899969801306725e-05	0.5212084000231698	True
10454	1035317	False	lost	0.0	4.229997284710407e-05	0.46880810003494844	True
10455	1035327	False	lost	0.0	9.619997581467032e-05	0.5224652999895625	True
10456	1035337	False	lost	0.0	0.00011760002234950662	0.5209739000420086	True
10457	1035347	False	lost	0.0	0.00011399999493733048	0.4778857000055723	True
10458	1035357	False	lost	0.0	8.150003850460052e-05	0.49378810002235696	True
10459	1035367	False	lost	0.0	0.0002817999920807779	0.5112940999679267	True
10460	1035377	False	lost	0.0	4.830001853406429e-05	0.6163377000484616	True
10461	1035387	False	lost	0.0	4.900002386420965e-05	0.5651956000365317	True
10462	1035397	False	lost	0.0	3.9899954572319984e-05	0.49581559997750446	True
10463	1035407	False	lost	0.0	4.600000102072954e-05	0.48045360000105575	True
10464	1035417	False	lost	0.0	5.870003951713443e-05	3.008722900005523	True
10465	1035427	False	lost	0.0	5.059997783973813e-05	0.4795763999572955	True
10466	1035437	False	lost	0.0	4.2199972085654736e-05	0.5650343000306748	True
10467	1035447	False	lost	0.0	5.000003147870302e-05	0.5119111000094563	True
10468	1035457	False	lost	0.0	4.640000406652689e-05	0.5172197000356391	True
10469	1035467	False	lost	0.0	4.67000063508749e-05	0.5058743999688886	True
10470	1035477	False	lost	0.0	4.7900015488266945e-05	0.5665254999767058	True
10471	1035487	False	lost	0.0	4.759995499625802e-05	0.4962097000097856	True
10472	1035497	False	lost	0.0	7.589999586343765e-05	0.5540517000481486	True
10473	1035507	False	lost	0.0	4.710000939667225e-05	0.4885734000126831	True
10474	1035517	False	lost	0.0	6.659998325631022e-05	0.8186958999722265	True
10475	1035527	False	lost	0.0	3.739999374374747e-05	0.49123490002239123	True
10476	1035537	False	lost	0.0	3.6400044336915016e-05	0.5071975999744609	True
10477	1035547	False	lost	0.0	3.8300000596791506e-05	0.4887417000136338	True
