metric,min_strides,alpha,cutoff_years,half_width_bp,s,n,detected,detection,fdr_mean,f1_mean,recall_mean,fp_mean,calls_mean,no_calls,tp_total,fp_total,fn_total,fdp_pooled,f1_pooled,fdp_ci_low,fdp_ci_high,f1_ci_low,f1_ci_high
peak,1,0.01,10000,50000,0.007,100,47,0.47,0.6935317460317459,0.25615873015873014,0.47,2.03,2.5,11,47,203,53,0.812,0.26857142857142857,0.6152092261904761,0.7647304563492063,0.19670595238095237,0.3217607142857142
peak,1,0.01,10000,50000,0.008,100,54,0.54,0.6746666666666666,0.28502453102453096,0.54,2.33,2.87,11,54,233,46,0.8118466898954704,0.27906976744186046,0.6011645833333333,0.7399249999999998,0.22718571428571424,0.34580270562770554
peak,1,0.01,10000,50000,0.009,100,55,0.55,0.6567142857142858,0.2844523809523809,0.55,2.24,2.79,13,55,224,45,0.8028673835125448,0.29023746701846964,0.5873666666666666,0.7266196428571429,0.22678511904761908,0.34403095238095227
peak,1,0.01,10000,50000,0.01,100,48,0.48,0.6571623376623377,0.2805,0.48,2.04,2.52,12,48,204,52,0.8095238095238095,0.2727272727272727,0.5796646645021645,0.7277592532467533,0.21516249999999998,0.348
peak,1,0.01,10000,100000,0.001,100,0,0.0,0.61,0.0,0.0,1.39,1.39,39,0,139,100,1.0,0.0,0.51,0.7002499999999986,0.0,0.0
peak,1,0.01,10000,100000,0.002,100,5,0.05,0.67,0.028333333333333332,0.05,1.49,1.54,31,5,149,95,0.9675324675324676,0.03937007874015748,0.5733333333333334,0.7616666666666666,0.005,0.05504166666666644
peak,1,0.01,10000,100000,0.003,100,18,0.18,0.6979123376623377,0.08443650793650793,0.18,1.96,2.14,24,18,196,82,0.9158878504672897,0.11464968152866242,0.6129850649350649,0.7739186417748918,0.04685496031746031,0.12704027777777777
peak,1,0.01,10000,100000,0.004,100,25,0.25,0.7126031746031747,0.13635714285714287,0.25,1.84,2.09,18,25,184,75,0.8803827751196173,0.16181229773462782,0.6282236111111111,0.7902785714285715,0.08666666666666666,0.19538095238095238
peak,1,0.01,10000,100000,0.005,100,36,0.36,0.698031746031746,0.19004761904761902,0.36,2.08,2.44,16,36,208,64,0.8524590163934426,0.20930232558139536,0.6209928571428571,0.7761803571428573,0.13685416666666667,0.2461708333333333
peak,1,0.01,10000,100000,0.006,100,47,0.47,0.6488492063492063,0.25899206349206344,0.47,2.05,2.52,15,47,205,53,0.8134920634920635,0.26704545454545453,0.5737409722222222,0.7246089285714286,0.19778690476190472,0.3259140873015872
peak,1,0.01,10000,100000,0.007,100,56,0.56,0.6376984126984127,0.3218253968253968,0.56,1.94,2.5,11,56,194,44,0.776,0.32,0.5652142857142857,0.7046048611111111,0.25652222222222226,0.38953492063492057
peak,1,0.01,10000,100000,0.008,100,59,0.59,0.6476666666666666,0.31835786435786434,0.59,2.28,2.87,11,59,228,41,0.794425087108014,0.3049095607235142,0.5729854166666666,0.7195020833333333,0.2586835497835498,0.3827357503607504
peak,1,0.01,10000,100000,0.009,100,61,0.61,0.6308809523809523,0.3201190476190476,0.61,2.18,2.79,13,61,218,39,0.7813620071684588,0.32189973614775724,0.5623196428571429,0.6999928571428571,0.2620095238095238,0.3823624999999999
