key,fold,marker_present,marker_position,af,profile_sha256
neutral/rep0192,3,False,,0.0,162b58779d02237e3e8f6af9db7f1a929002c2825ee855915dcaf72029bc0c51
neutral/rep0193,0,False,,0.0,7a2eeefd072dfcdec96037dc36358834cc4e383463635003b044281771cbaa4e
neutral/rep0194,2,False,,0.0,07b7ee23f0258bd2fede3b456f8269a691c124461e6b990e30134fa2efa6bee9
neutral/rep0195,0,False,,0.0,4e37cc3427b0723282a3a90659cd79128340cb60a525abac959fd06d9fdb31db
neutral/rep0196,2,False,,0.0,83cb8fd296d558813af08e2440770a1d0de362c1fc1d5f97c015b3ff80220fd4
neutral/rep0197,0,False,,0.0,09e1352663cdda9aebea685d90790943ba5fa809acba847122380254aaf2efed
neutral/rep0198,2,False,,0.0,24fb9563bc6a1c75b5472a59408271a331b7270004e5e4996d3a6f0d13aa6f28
neutral/rep0199,4,True,4997545.0,0.1425,cb051119cf50d3859e050679604a03b8b620cf4e484eec6a4fd5e81339b2068a
neutral/rep0200,3,False,,0.0,f1599b4e3afdc657f4a31a22cfdf84d726398e8dfaccf1ab51cb4492f771e075
neutral/rep0201,1,False,,0.0,5e28c4952943e77454f3961c6bade924336713c00d341b8b87685fb2617b228e
neutral/rep0202,2,False,,0.0,aaa368992b26bb3fc900592ad9e937c073c23988d0a90af493f6c6b336262963
neutral/rep0203,3,False,,0.0,3933fe83338657d1727bf4e451a0e9d21b14743d9a48ca8e40e7dba0dadf9a23
neutral/rep0204,3,False,,0.0,9716dc71044729a91df245df81b8513361159b742bd0fc2408d2ebd13a66dde4
neutral/rep0205,2,False,,0.0,3d2cf1bf56ffa99172d4a869a195da1ec9d38226724c24b231c0346eeded51be
neutral/rep0206,2,False,,0.0,2be8277b86b728e60dd110076d6fd754da92aadfb760444fbfc70a7abfc0ef1e
neutral/rep0207,0,False,,0.0,ce92db82e3b534ceb3e4cc23bfd7fe3b5aa4d364bfe6a7feb0b48dcbd6633f86
neutral/rep0208,2,False,,0.0,8f4de3016174beb1fc619468d9bc28016ac53959e75a5894e0d8ba2d0c6c65aa
neutral/rep0209,3,False,,0.0,9f114a7afea675cf49be0529f3c1f4729bdf9fb9a9c43cf34fde3502b14f4cb7
neutral/rep0210,2,False,,0.0,6c046771242462828663933a02928cbbc9c1fcffafd1fe6e1e50818080410aae
neutral/rep0211,4,True,4999009.0,0.2975,cc5ee09671057cfcbec3e91b12ccb56c6d0ae70f0d2a3efb2b4f7edda6d4c507
neutral/rep0212,3,True,5001871.0,0.3425,2f5de747f3f9ed97a89fd7cbd6da56138fb2a49762260badbb07ad541d42207c
neutral/rep0213,3,True,4995241.0,0.3125,c8b9caebac539c96c5ab3263fb954cf6f2031c5fdb997f5f6132d29b703cd70a
neutral/rep0214,4,False,,0.0,8fb6f383037e1c28fcec9fff4f9df6a9bc9df3bf8af14deafaa2b25bbe6ee007
neutral/rep0215,0,False,,0.0,cb58da236fa021a38f6d5f452a08b3b6818e902638fa1e24750a747cec2e6e10
neutral/rep0216,0,False,,0.0,64f148a1ec95b94d408d85c6ae0a0eeb80ff4ad1eb9b11b49145c14f9a2ce7a7
neutral/rep0217,2,False,,0.0,d1ed2a876e2e1ccfc4b34882e7573c4d3ab3c8f5400a82d97c0bb81d4fb51078
