arm	method	genotype_class	threshold_years	quantile	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
denovo_delayed_s0p01	truth	noncarrier_noncarrier	1000.0	0.5	0.00041290323570581744	0.0004786666666666667	157	0.5249169435215947	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	1000.0	0.75	0.0006320025602946585	0.0004786666666666667	57	0.19269102990033224	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	1000.0	0.9	0.0008434141385011084	0.0004786666666666667	17	0.059800664451827246	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	5000.0	0.1	0.001744329740938823	0.0026056666666666667	286	0.9534883720930233	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	5000.0	0.25	0.0021850045857535923	0.0026056666666666667	237	0.7906976744186046	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	5000.0	0.5	0.0027	0.0026056666666666667	132	0.4418604651162791	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	5000.0	0.75	0.0030208431873364238	0.0026056666666666667	62	0.20930232558139536	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	5000.0	0.9	0.0033335719275845777	0.0026056666666666667	22	0.07641196013289037	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	10000.0	0.1	0.005751448488826975	0.007359	280	0.9335548172757475	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	10000.0	0.25	0.006354033915724563	0.007359	241	0.8039867109634552	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	10000.0	0.5	0.007341178795871147	0.007359	142	0.4750830564784053	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	10000.0	0.75	0.00819237715245695	0.007359	76	0.2558139534883721	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	10000.0	0.9	0.008907810955311207	0.007359	25	0.08637873754152824	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	20000.0	0.1	0.036301191894435335	0.04594566666666666	264	0.8803986710963455	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	20000.0	0.25	0.04056207015412059	0.04594566666666666	216	0.7209302325581395	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	20000.0	0.5	0.04384849863989215	0.04594566666666666	159	0.53156146179402	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	20000.0	0.75	0.048437251528222675	0.04594566666666666	100	0.33554817275747506	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	20000.0	0.9	0.058745461231995096	0.04594566666666666	19	0.0664451827242525	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	30000.0	0.1	0.07400955503600258	0.10093533333333334	273	0.9102990033222591	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	30000.0	0.25	0.08074350790038343	0.10093533333333334	243	0.8106312292358804	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	30000.0	0.5	0.09049686662543804	0.10093533333333334	182	0.6079734219269103	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	30000.0	0.75	0.10710359369398935	0.10093533333333334	92	0.3089700996677741	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	30000.0	0.9	0.1278997018059639	0.10093533333333334	37	0.12624584717607973	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	40000.0	0.1	0.10198323921486302	0.15520733333333334	283	0.9435215946843853	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	40000.0	0.25	0.11517894524959743	0.15520733333333334	253	0.8438538205980066	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	40000.0	0.5	0.13716976821792706	0.15520733333333334	184	0.6146179401993356	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	40000.0	0.75	0.1649637798849995	0.15520733333333334	93	0.3122923588039867	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	40000.0	0.9	0.20279416285237284	0.15520733333333334	40	0.1362126245847176	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	50000.0	0.1	0.132609418084154	0.20062233333333335	276	0.920265780730897	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	50000.0	0.25	0.15433241919892404	0.20062233333333335	239	0.7973421926910299	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	50000.0	0.5	0.190053470701106	0.20062233333333335	140	0.4684385382059801	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	50000.0	0.75	0.23955599329601807	0.20062233333333335	68	0.2292358803986711	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	50000.0	0.9	0.2754694833546418	0.20062233333333335	32	0.10963455149501661	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	75000.0	0.1	0.17796465628468708	0.28886799999999996	278	0.9269102990033222	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	75000.0	0.25	0.21946232583341935	0.28886799999999996	215	0.717607973421927	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	75000.0	0.5	0.27945080084577356	0.28886799999999996	122	0.40863787375415284	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	75000.0	0.75	0.35246375392889817	0.28886799999999996	58	0.19601328903654486	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	75000.0	0.9	0.4210507530721564	0.28886799999999996	39	0.132890365448505	False
denovo_delayed_s0p01	truth	overall	1000.0	0.1	0.0002	0.0004786666666666667	289	0.9634551495016611	False
denovo_delayed_s0p01	truth	overall	1000.0	0.25	0.00027499999999999996	0.0004786666666666667	259	0.8637873754152824	False
denovo_delayed_s0p01	truth	overall	1000.0	0.5	0.0004	0.0004786666666666667	215	0.717607973421927	False
denovo_delayed_s0p01	truth	overall	1000.0	0.75	0.0006	0.0004786666666666667	103	0.34551495016611294	False
denovo_delayed_s0p01	truth	overall	1000.0	0.9	0.0008	0.0004786666666666667	32	0.10963455149501661	False
denovo_delayed_s0p01	truth	overall	5000.0	0.1	0.0017	0.0026056666666666667	293	0.9767441860465116	False
denovo_delayed_s0p01	truth	overall	5000.0	0.25	0.0022	0.0026056666666666667	237	0.7906976744186046	False
denovo_delayed_s0p01	truth	overall	5000.0	0.5	0.0027	0.0026056666666666667	132	0.4418604651162791	False
denovo_delayed_s0p01	truth	overall	5000.0	0.75	0.003	0.0026056666666666667	77	0.2591362126245847	False
denovo_delayed_s0p01	truth	overall	5000.0	0.9	0.003310000000000001	0.0026056666666666667	22	0.07641196013289037	False
denovo_delayed_s0p01	truth	overall	10000.0	0.1	0.0058	0.007359	280	0.9335548172757475	False
denovo_delayed_s0p01	truth	overall	10000.0	0.25	0.0065	0.007359	230	0.7674418604651163	False
denovo_delayed_s0p01	truth	overall	10000.0	0.5	0.0074	0.007359	142	0.4750830564784053	False
denovo_delayed_s0p01	truth	overall	10000.0	0.75	0.0086	0.007359	51	0.17275747508305647	False
denovo_delayed_s0p01	truth	overall	10000.0	0.9	0.00931	0.007359	15	0.053156146179401995	False
denovo_delayed_s0p01	truth	overall	20000.0	0.1	0.0363	0.04594566666666666	265	0.8837209302325582	False
