calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw016	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	16	1174794371
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw017	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	17	1625288680
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw018	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	18	1572337574
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw019	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	19	1155896020
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw000	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	0	1347119641
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw001	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	1	263666746
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw002	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	2	454530566
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw003	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	3	272153301
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw004	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	4	1500192368
han_calibration__s0.010000__af0.100000__m0.400000__q5__draw005	0.01	0.1	0.07500000000000001	0.125	0.4	1453.301330161558	818.6986698384419	1944.5205320646232	1945.0	5.0	500	5	1702460219
