position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
7240000	7240001	2000	0.02903481626	12466.55472	16	0.008	0.02903481626
7250000	7250001	2000	0.02649515555	13714.97566	16	0.008	0.02649515555
7260000	7260001	2000	0.02640599626	13364.59131	16	0.008	0.02640599626
7270000	7270001	2000	0.02243887819	13091.44793	16	0.008	0.02243887819
7280000	7280001	2000	0.02241917274	16296.97701	16	0.008	0.02241917274
7290000	7290001	2000	0.02192005169	22243.73315	16	0.008	0.02192005169
7300000	7300001	2000	0.02318350839	16315.24315	16	0.008	0.02318350839
7310000	7310001	2000	0.02567008228	22357.26877	16	0.008	0.02567008228
7320000	7320001	2000	0.02661795714	25623.98019	16	0.008	0.02661795714
7330000	7330001	2000	0.02489901789	14855.1367	16	0.008	0.02489901789
7340000	7340001	2000	0.02903555104	10916.81042	15	0.0075	0.02903555104
7350000	7350001	2000	0.02334013597	16898.41728	15	0.0075	0.02334013597
7360000	7360001	2000	0.02031722668	19651.05995	14	0.007	0.02031722668
7370000	7370001	2000	0.01995275075	27902.11047	14	0.007	0.01995275075
7380000	7380001	2000	0.01961540201	25642.7468	14	0.007	0.01961540201
7390000	7390001	2000	0.02106246018	19990.97392	14	0.007	0.02106246018
7400000	7400001	2000	0.02529653034	18941.86375	14	0.007	0.02529653034
7410000	7410001	2000	0.02288514929	21036.94541	14	0.007	0.02288514929
7420000	7420001	2000	0.02031343842	18862.90739	14	0.007	0.02031343842
7430000	7430001	2000	0.02183753138	22279.40541	15	0.0075	0.02183753138
7440000	7440001	2000	0.02438155065	26436.84173	15	0.0075	0.02438155065
7450000	7450001	2000	0.02135478414	22567.83281	14	0.007	0.02135478414
7460000	7460001	2000	0.02119023885	24203.20172	14	0.007	0.02119023885
7470000	7470001	2000	0.02161189226	23673.25048	14	0.007	0.02161189226
7480000	7480001	2000	0.01946274559	22590.78477	13	0.0065	0.01946274559
7490000	7490001	2000	0.02111953916	19831.60589	13	0.0065	0.02111953916
7500000	7500001	2000	0.02350141976	21319.68289	13	0.0065	0.02350141976
7510000	7510001	2000	0.02504840109	17122.65196	13	0.0065	0.02504840109
7520000	7520001	2000	0.02514723307	24321.09008	13	0.0065	0.02514723307
7530000	7530001	2000	0.02320191964	16149.73645	13	0.0065	0.02320191964
7540000	7540001	2000	0.02063160427	24151.75588	13	0.0065	0.02063160427
7550000	7550001	2000	0.02022301825	17018.90162	13	0.0065	0.02022301825
7560000	7560001	2000	0.0196667112	20404.02719	13	0.0065	0.0196667112
