demography_id	selection_coefficient	time_variable	time_generations	time_kya	initial_af_assumption	deterministic_final_af
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1601	40.025	0.00015360983102918587	0.31519532759484026
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1611	40.275	0.00015337423312883436	0.3257487869662049
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1621	40.525	0.0001529051987767584	0.3361408962738312
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1631	40.775	0.00015248551387618176	0.3467652638198895
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1641	41.025	0.00015248551387618176	0.3581762705374578
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1651	41.275	0.00015174506828528073	0.3686164451339784
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1661	41.525	0.00015142337976983646	0.3798277573870356
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1671	41.775	0.00015087507543753772	0.3908102869906171
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1681	42.025	0.00015055706112616682	0.40226947305032174
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1691	42.275	0.00014988009592326138	0.41325510296156237
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1701	42.525	0.000149655791679138	0.4250630294285325
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1711	42.775	0.00014992503748125936	0.43776806984724126
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1721	43.025	0.00014938751120406333	0.44922129322329707
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1731	43.275	0.0001487652484379649	0.46058389848474707
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1741	43.525	0.00014823599169878446	0.4721396951034337
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1751	43.775	0.0001478852410529429	0.4840239184376477
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1761	44.025	0.00014757969303423848	0.4960014238085376
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1771	44.275	0.00014749262536873156	0.5083530034303458
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1781	44.525	0.00014684287812041116	0.5197395986024632
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1791	44.775	0.00014615609470914936	0.5310377412954006
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1801	45.025	0.00014615609470914936	0.5434676948762168
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1811	45.275	0.00014585764294049007	0.5553389664197975
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1821	45.525	0.0001448855404230658	0.5660070863925691
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1831	45.775	0.0001448016217781639	0.5781049729255395
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1841	46.025	0.0001441753171856978	0.5892010796865
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1851	46.275	0.0001437607820586544	0.6005563797462945
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1861	46.525	0.00014326647564469913	0.6116703926817693
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1871	46.775	0.00014302059496567506	0.623075104598273
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1881	47.025	0.00014253135689851768	0.6339485743732648
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1891	47.275	0.00014204545454545454	0.6446899251293214
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1901	47.525	0.00014144271570014144	0.6550982643038856
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1911	47.775	0.00014092446448703494	0.6654894598219022
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1921	48.025	0.00014084507042253522	0.6764031431788733
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1931	48.275	0.00014048890137679124	0.6867047578771699
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1941	48.525	0.00014025245441795232	0.6970044653260208
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1951	48.775	0.00013970382788488405	0.7066468415940923
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1961	49.025	0.00013904338153503893	0.7159407312736923
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1971	49.275	0.00013896609227348526	0.72588788652873
